,id,prices,market_caps,total_volumes
0,avalanche-2,"[1616630400000, 26.053184110042988]","[1616630400000, 3345930074.9885716]","[1616630400000, 338153949.62149525]"
1,avalanche-2,"[1616716800000, 25.768828212177734]","[1616716800000, 3267591871.3502626]","[1616716800000, 330827514.10394925]"
2,avalanche-2,"[1616803200000, 28.15734922216305]","[1616803200000, 3594381859.9583316]","[1616803200000, 230776170.83686236]"
3,avalanche-2,"[1616889600000, 27.67157136533701]","[1616889600000, 3550332621.3520665]","[1616889600000, 169854417.50014177]"
4,avalanche-2,"[1616976000000, 28.624516804103145]","[1616976000000, 3650238012.0904694]","[1616976000000, 228476510.1166219]"
5,avalanche-2,"[1617062400000, 29.600558910849777]","[1617062400000, 3804266244.0201573]","[1617062400000, 219703944.8350976]"
6,avalanche-2,"[1617148800000, 29.62185815751755]","[1617148800000, 3790153625.7350087]","[1617148800000, 221563714.6856491]"
7,avalanche-2,"[1617235200000, 28.649511340932087]","[1617235200000, 3667524624.1772633]","[1617235200000, 224818137.61054862]"
8,avalanche-2,"[1617321600000, 28.352805253336]","[1617321600000, 3628818616.8417006]","[1617321600000, 179940714.24838203]"
9,avalanche-2,"[1617408000000, 28.920741371353532]","[1617408000000, 3703609746.4137344]","[1617408000000, 177255510.81359163]"
10,avalanche-2,"[1617494400000, 28.203242721417254]","[1617494400000, 3614941150.090654]","[1617494400000, 426224466.8292235]"
11,avalanche-2,"[1617580800000, 29.258499534139006]","[1617580800000, 3748901258.8338666]","[1617580800000, 203736404.48602337]"
12,avalanche-2,"[1617667200000, 31.15764993777871]","[1617667200000, 3988965459.3844404]","[1617667200000, 423543959.12471753]"
13,avalanche-2,"[1617753600000, 31.6387730003081]","[1617753600000, 4064413025.4978065]","[1617753600000, 402859806.21853745]"
14,avalanche-2,"[1617840000000, 29.581033707640348]","[1617840000000, 3822599952.0515046]","[1617840000000, 333267898.70347536]"
15,avalanche-2,"[1617926400000, 30.762516784121452]","[1617926400000, 3934463236.1451817]","[1617926400000, 209480602.2958724]"
16,avalanche-2,"[1618012800000, 31.471558327453188]","[1618012800000, 4030114768.9579134]","[1618012800000, 268529509.857372]"
17,avalanche-2,"[1618099200000, 32.07559498535796]","[1618099200000, 4114354954.070793]","[1618099200000, 374040339.45845217]"
18,avalanche-2,"[1618185600000, 31.480290902554973]","[1618185600000, 4045289666.257441]","[1618185600000, 205287732.04654288]"
19,avalanche-2,"[1618272000000, 33.88869894296564]","[1618272000000, 4350727543.060595]","[1618272000000, 465865354.31176776]"
20,avalanche-2,"[1618358400000, 33.88377657532517]","[1618358400000, 4343560124.996935]","[1618358400000, 366725297.1673147]"
21,avalanche-2,"[1618444800000, 38.516381594175485]","[1618444800000, 4961307642.406858]","[1618444800000, 938295404.8147668]"
22,avalanche-2,"[1618531200000, 37.130825856708775]","[1618531200000, 4767391064.9070015]","[1618531200000, 576835317.7863458]"
23,avalanche-2,"[1618617600000, 35.2626492641124]","[1618617600000, 4550206528.436206]","[1618617600000, 423577088.8499272]"
24,avalanche-2,"[1618704000000, 34.25197323608631]","[1618704000000, 4408303670.943454]","[1618704000000, 301177193.11705863]"
25,avalanche-2,"[1618790400000, 29.2792826582362]","[1618790400000, 3765597554.614512]","[1618790400000, 579381109.8847109]"
26,avalanche-2,"[1618876800000, 26.51633343371477]","[1618876800000, 3412628582.4499083]","[1618876800000, 316019091.0459517]"
27,avalanche-2,"[1618963200000, 27.221395301681955]","[1618963200000, 3513993514.4128137]","[1618963200000, 323253556.6640463]"
28,avalanche-2,"[1619049600000, 26.108340905203118]","[1619049600000, 3386392910.987539]","[1619049600000, 281165176.54416627]"
29,avalanche-2,"[1619136000000, 24.193198137772097]","[1619136000000, 3122553330.869511]","[1619136000000, 301041557.7673158]"
30,avalanche-2,"[1619222400000, 23.536121345140074]","[1619222400000, 3020637110.8783255]","[1619222400000, 363249177.50870264]"
31,avalanche-2,"[1619308800000, 21.777279381506073]","[1619308800000, 2827395699.2906504]","[1619308800000, 184145561.6293585]"
32,avalanche-2,"[1619395200000, 21.50514444673564]","[1619395200000, 2762123911.0471134]","[1619395200000, 141275581.2659282]"
33,avalanche-2,"[1619481600000, 26.22744871707413]","[1619481600000, 3360216107.3917956]","[1619481600000, 260578636.22832766]"
34,avalanche-2,"[1619568000000, 27.590045746375115]","[1619568000000, 3552417979.1175704]","[1619568000000, 221928172.9493424]"
35,avalanche-2,"[1619654400000, 28.38057879190039]","[1619654400000, 3651668306.55792]","[1619654400000, 277058343.56552505]"
36,avalanche-2,"[1619740800000, 28.011404559210863]","[1619740800000, 3618611690.5758147]","[1619740800000, 253046449.40736306]"
37,avalanche-2,"[1619827200000, 32.87361571668135]","[1619827200000, 4207796400.048865]","[1619827200000, 473821081.5676769]"
38,avalanche-2,"[1619913600000, 31.83887538844901]","[1619913600000, 4113040049.6581416]","[1619913600000, 517110886.44768643]"
39,avalanche-2,"[1620000000000, 31.30077874087277]","[1620000000000, 4024642460.529015]","[1620000000000, 279840964.3043837]"
40,avalanche-2,"[1620086400000, 36.02053644107485]","[1620086400000, 4632809115.471254]","[1620086400000, 626327133.7186668]"
41,avalanche-2,"[1620172800000, 30.477425533830655]","[1620172800000, 3946615836.216188]","[1620172800000, 417038602.09070796]"
42,avalanche-2,"[1620259200000, 35.35734224274425]","[1620259200000, 4561814156.233879]","[1620259200000, 266094761.4489015]"
43,avalanche-2,"[1620345600000, 37.99576748246954]","[1620345600000, 4887941649.743038]","[1620345600000, 469600110.23071206]"
44,avalanche-2,"[1620432000000, 38.24824301705053]","[1620432000000, 4929607619.567562]","[1620432000000, 673472110.85109]"
45,avalanche-2,"[1620518400000, 38.39548288254306]","[1620518400000, 4948723703.463895]","[1620518400000, 276293453.14697516]"
46,avalanche-2,"[1620604800000, 39.06701826894676]","[1620604800000, 5007421179.676972]","[1620604800000, 287333690.25970376]"
47,avalanche-2,"[1620691200000, 34.924303068576165]","[1620691200000, 4509349122.2778225]","[1620691200000, 516365754.36653215]"
48,avalanche-2,"[1620777600000, 37.17524430469056]","[1620777600000, 4772825464.801782]","[1620777600000, 346412805.8696742]"
49,avalanche-2,"[1620864000000, 33.4787959998622]","[1620864000000, 4552216260.726946]","[1620864000000, 627072756.4393809]"
50,avalanche-2,"[1620950400000, 35.04553260694779]","[1620950400000, 4435737241.656202]","[1620950400000, 558904348.2719007]"
51,avalanche-2,"[1621036800000, 37.16658831410479]","[1621036800000, 4776624358.453818]","[1621036800000, 422257216.836676]"
52,avalanche-2,"[1621123200000, 34.47587959792063]","[1621123200000, 4459775094.314252]","[1621123200000, 572957487.1037196]"
53,avalanche-2,"[1621209600000, 36.180002165317056]","[1621209600000, 4645139397.748668]","[1621209600000, 595249553.1811095]"
54,avalanche-2,"[1621296000000, 33.567339487428264]","[1621296000000, 4376339185.087632]","[1621296000000, 524528860.56920546]"
55,avalanche-2,"[1621382400000, 36.831548268760855]","[1621382400000, 4691253616.5686865]","[1621382400000, 454537735.89624524]"
56,avalanche-2,"[1621468800000, 23.938405754256916]","[1621468800000, 3147719253.4954915]","[1621468800000, 725492322.4154593]"
57,avalanche-2,"[1621555200000, 24.951411424044355]","[1621555200000, 3213828553.9803147]","[1621555200000, 439772793.02975297]"
58,avalanche-2,"[1621641600000, 21.7594847330305]","[1621641600000, 2790385622.598601]","[1621641600000, 323128249.21680933]"
59,avalanche-2,"[1621728000000, 18.869815321404793]","[1621728000000, 2438234418.0908175]","[1621728000000, 192281707.47663826]"
60,avalanche-2,"[1621814400000, 15.88098195110946]","[1621814400000, 2041886573.8670611]","[1621814400000, 324565112.4037476]"
61,avalanche-2,"[1621900800000, 19.351895194004324]","[1621900800000, 2506451157.742522]","[1621900800000, 319094870.19067025]"
62,avalanche-2,"[1621987200000, 19.497741248016307]","[1621987200000, 2532493078.0033445]","[1621987200000, 230025913.19100344]"
63,avalanche-2,"[1622073600000, 20.835907241473308]","[1622073600000, 2679286494.72359]","[1622073600000, 228359717.38723347]"
64,avalanche-2,"[1622160000000, 19.083272550301103]","[1622160000000, 2483878922.287402]","[1622160000000, 155195303.00046673]"
65,avalanche-2,"[1622246400000, 16.83857943912863]","[1622246400000, 2186094070.5359745]","[1622246400000, 159354633.67136985]"
66,avalanche-2,"[1622332800000, 16.18824483090784]","[1622332800000, 2114758160.381429]","[1622332800000, 102432769.49294424]"
67,avalanche-2,"[1622419200000, 16.50800967730034]","[1622419200000, 2145425505.8143086]","[1622419200000, 79071200.59334275]"
68,avalanche-2,"[1622505600000, 18.07312492336038]","[1622505600000, 2353206153.5757246]","[1622505600000, 102016798.0440714]"
69,avalanche-2,"[1622592000000, 17.819336612889675]","[1622592000000, 2324888175.721887]","[1622592000000, 95158358.82394269]"
70,avalanche-2,"[1622678400000, 18.740486656539]","[1622678400000, 2444614509.8610964]","[1622678400000, 118743410.66092943]"
71,avalanche-2,"[1622764800000, 20.26487940080013]","[1622764800000, 2659208521.907187]","[1622764800000, 138838327.91539803]"
72,avalanche-2,"[1622851200000, 18.26917419828292]","[1622851200000, 2388789630.0315022]","[1622851200000, 130131982.30481091]"
73,avalanche-2,"[1622937600000, 17.145530478676655]","[1622937600000, 2236462223.7562146]","[1622937600000, 106947811.76107301]"
74,avalanche-2,"[1623024000000, 17.40685571336171]","[1623024000000, 2268194432.7625027]","[1623024000000, 55449625.55530477]"
75,avalanche-2,"[1623110400000, 15.370267178714089]","[1623110400000, 2665865012.952466]","[1623110400000, 150139153.4265329]"
76,avalanche-2,"[1623196800000, 14.862452395149687]","[1623196800000, 2562659411.9361844]","[1623196800000, 147281949.88847342]"
77,avalanche-2,"[1623283200000, 15.360058958912425]","[1623283200000, 2648519211.9450064]","[1623283200000, 128547102.1919657]"
78,avalanche-2,"[1623369600000, 14.197480798043506]","[1623369600000, 2460165965.46623]","[1623369600000, 106540918.39861615]"
79,avalanche-2,"[1623456000000, 13.4428618589502]","[1623456000000, 2317772711.1909094]","[1623456000000, 94662491.78348278]"
80,avalanche-2,"[1623542400000, 13.62576969363913]","[1623542400000, 2362565807.542536]","[1623542400000, 97952798.92975728]"
81,avalanche-2,"[1623628800000, 14.806039901754346]","[1623628800000, 2539431832.8260503]","[1623628800000, 115599101.42754157]"
82,avalanche-2,"[1623715200000, 15.127537288450215]","[1623715200000, 2608466642.3346424]","[1623715200000, 108610604.31535152]"
83,avalanche-2,"[1623801600000, 14.821299355540615]","[1623801600000, 2559572981.306809]","[1623801600000, 101565623.97048505]"
84,avalanche-2,"[1623888000000, 14.015935398998028]","[1623888000000, 2409672158.1831765]","[1623888000000, 98010447.83910854]"
85,avalanche-2,"[1623974400000, 14.864389472484927]","[1623974400000, 2553417108.576602]","[1623974400000, 127140118.492252]"
86,avalanche-2,"[1624060800000, 13.635180104142895]","[1624060800000, 2352892932.6817546]","[1624060800000, 92381824.59044577]"
87,avalanche-2,"[1624147200000, 13.449009507887489]","[1624147200000, 2322198706.428656]","[1624147200000, 45214966.56843575]"
